col1,col2,col3,col4,col5,pk
90,9,3,89,57,9
61,86,52,19,57,7
81,49,36,27,10,6
52,81,95,57,80,1
73,87,43,47,97,9
70,32,11,93,63,6
69,90,28,100,83,1
70,89,44,98,77,4
41,37,7,15,56,6
17,67,93,82,39,8
100,66,91,94,54,8
66,86,50,75,92,4
16,89,99,19,27,8
76,61,34,34,93,9
58,16,47,54,89,9
84,96,54,38,77,10
61,15,62,63,87,4
98,26,68,86,99,10
74,18,5,33,97,7
26,99,35,43,28,1
50,95,56,12,4,4
97,77,97,29,51,4
67,65,7,77,39,10
95,84,36,44,25,1
97,43,13,75,80,5
13,26,49,2,18,4
56,82,26,35,66,7
22,1,14,74,99,9
60,83,84,16,10,2
52,54,80,32,65,5
22,86,68,18,25,1
55,14,52,34,84,5
89,64,66,45,32,1
26,63,68,33,23,2
31,82,51,92,29,10
59,70,29,3,55,9
4,90,66,38,90,5
46,12,90,95,11,2
95,79,7,26,18,3
17,40,77,93,47,10
46,25,16,53,55,8
10,82,50,77,37,7
61,28,18,88,32,8
82,56,13,34,12,1
42,43,70,65,26,7
58,99,12,45,40,5
36,95,95,62,22,7
74,73,18,63,27,5
76,77,85,48,51,10
61,30,12,23,30,2
47,46,89,87,45,7
63,54,100,29,18,8
29,14,9,36,79,10
58,52,33,42,69,9
36,87,68,94,98,9
96,93,33,21,37,4
13,88,73,89,2,1
58,65,51,96,3,8
55,85,64,2,42,3
3,10,97,20,92,1
56,11,100,58,32,4
46,1,14,42,68,9
56,24,30,47,95,3
54,72,43,38,23,3
99,18,39,43,7,2
98,76,78,48,68,4
19,69,46,37,94,4
42,78,66,22,40,9
74,26,53,1,4,2
99,26,54,36,27,6
33,31,15,99,97,4
43,51,25,43,58,9
37,64,92,78,74,6
60,89,22,40,76,3
90,64,37,96,75,6
58,95,93,61,19,3
24,49,85,41,12,6
58,60,82,95,6,6
10,16,88,7,24,7
21,50,44,57,77,2
26,10,80,83,37,3
47,38,74,89,84,2
25,12,68,66,96,2
1,3,21,44,98,8
18,92,43,80,70,8
84,26,56,93,51,4
93,34,82,6,75,9
30,84,12,54,93,7
54,49,69,93,56,3
44,85,79,7,92,2
70,93,47,69,17,3
14,9,4,52,23,8
24,64,25,4,41,7
76,53,38,53,2,1
24,37,80,96,91,8
95,94,14,5,94,3
31,13,39,88,29,6
50,41,97,3,61,2
82,75,42,34,61,7
33,7,44,11,99,5
34,69,24,54,40,6
48,75,1,90,72,1
52,2,32,97,64,3
22,89,100,14,31,3
82,66,49,14,85,6
50,32,78,47,83,7
57,71,67,86,74,9
88,70,37,65,63,5
62,67,6,11,65,7
76,91,1,52,32,7
80,3,4,13,12,2
29,34,3,33,68,5
29,98,75,27,8,5
87,51,80,35,65,7
97,16,23,63,5,8
93,36,37,91,49,7
9,58,87,60,59,2
9,86,64,21,30,4
17,73,12,53,43,1
12,87,17,67,5,6
30,79,41,89,14,6
37,75,84,27,2,4
88,46,15,4,16,2
55,20,20,76,93,3
17,83,64,12,22,6
98,18,93,26,57,4
84,95,28,80,25,3
98,55,28,58,30,2
53,64,36,1,60,10
83,3,63,93,39,6
90,12,91,40,36,8
42,31,24,9,86,10
83,34,7,84,43,6
55,64,72,58,52,5
17,22,43,2,53,4
11,68,53,77,45,6
94,100,93,2,44,8
12,44,43,63,31,5
78,54,74,70,85,4
36,54,54,11,19,2
35,92,82,73,42,5
31,69,38,66,49,5
92,18,12,8,41,8
35,15,61,99,6,6
26,77,13,8,75,8
25,44,87,84,34,4
84,17,91,30,30,3
24,27,79,73,36,7
66,5,48,74,44,3
59,26,52,83,76,8
30,20,28,33,29,7
48,91,26,86,13,3
51,41,15,10,50,6
54,34,92,26,16,8
72,75,38,45,87,1
28,15,92,79,72,8
37,67,24,93,32,2
67,93,93,9,97,2
8,95,79,3,73,1
9,82,44,82,46,8
23,41,78,66,99,2
36,71,36,23,85,8
10,75,66,79,63,1
16,82,67,67,16,7
6,82,17,74,30,4
78,59,48,50,94,1
97,26,31,74,3,8
31,62,3,85,37,3
16,61,39,11,43,8
26,58,27,69,70,3
15,96,32,39,25,6
9,35,68,91,76,9
51,79,39,21,100,7
69,19,27,77,51,8
69,51,7,12,30,8
13,47,11,46,16,3
25,63,46,23,24,3
28,53,73,94,73,3
95,79,65,100,65,1
17,100,4,47,21,10
17,64,37,98,19,9
11,94,65,28,71,1
35,29,51,2,46,6
37,15,60,93,36,4
32,29,25,26,12,4
93,57,17,66,47,5
12,26,52,24,79,4
1,9,60,60,76,4
37,74,56,17,38,3
29,47,29,91,2,1
51,88,3,97,48,3
4,54,40,12,20,4
55,59,29,56,26,9
94,12,83,28,93,2
92,56,9,25,63,3
56,18,79,71,6,5
32,72,14,72,44,7
82,99,9,67,97,2
10,27,59,44,92,8
72,38,6,42,60,7
60,55,7,52,44,8
56,15,55,80,79,5
14,77,44,44,74,3
6,18,24,100,9,10
2,72,45,9,93,9
37,46,28,79,54,9
4,7,95,78,56,8
74,88,92,88,29,10
25,32,33,51,9,2
2,70,57,26,52,10
81,9,6,13,66,3
70,45,75,12,48,10
55,94,54,49,47,7
74,75,49,83,90,4
34,77,6,34,19,9
21,29,43,100,1,8
67,90,20,41,30,4
88,82,59,54,31,8
15,46,4,40,39,7
47,70,71,51,40,2
54,32,63,21,14,6
57,14,72,7,74,9
56,88,64,23,60,8
19,46,97,19,73,3
28,64,13,42,51,8
66,61,67,16,40,1
78,54,28,38,73,1
5,100,14,100,19,10
22,85,2,89,24,3
26,68,49,51,61,9
96,86,11,95,63,9
32,32,35,79,1,9
99,53,77,42,23,7
87,71,35,36,6,10
88,38,60,78,5,4
12,28,72,57,3,3
84,90,73,68,23,2
2,16,89,97,49,9
9,18,35,1,97,9
20,48,65,63,43,10
7,86,29,4,88,7
65,37,55,47,83,4
71,71,50,37,88,9
90,67,80,31,90,4
69,69,80,14,80,8
95,19,100,41,68,9
65,39,30,52,86,9
51,41,26,5,68,10
82,70,66,53,11,8
13,19,64,92,92,9
56,75,44,68,43,9
18,52,6,15,13,4
87,100,56,89,51,1
69,50,12,92,67,2
77,32,39,6,85,2
79,41,87,47,27,7
84,4,75,54,85,4
91,61,94,7,10,8
93,3,94,46,4,4
26,9,16,1,74,1
3,78,28,62,27,3
92,73,3,72,27,5
24,28,9,45,26,7
72,24,32,66,73,7
87,89,94,96,54,1
41,71,25,56,3,5
56,20,91,69,63,6
91,24,84,81,26,5
53,60,79,7,27,7
28,45,59,90,92,10
82,39,51,11,72,10
41,58,94,96,8,7
34,22,11,43,40,8
51,55,13,95,59,7
2,19,35,63,33,7
73,69,40,34,24,5
64,87,57,13,68,10
68,48,82,57,65,5
76,54,1,15,83,1
14,20,72,25,2,5
31,40,62,45,79,4
17,16,16,4,95,6
56,89,77,26,14,7
19,31,56,54,100,9
43,33,59,5,15,5
90,96,41,55,89,8
15,78,99,46,49,1
19,1,60,60,21,7
13,9,16,100,65,7
62,54,99,32,86,4
44,58,58,74,11,5
67,93,75,7,31,6
21,26,92,4,86,9
92,90,30,76,12,8
86,25,12,91,18,5
91,88,73,72,12,7
59,56,77,44,98,1
93,4,30,47,87,8
9,37,51,50,44,3
63,60,47,29,55,8
100,39,90,2,31,10
14,90,35,76,67,6
55,60,66,19,84,9
11,90,52,30,31,2
95,23,66,87,50,10
8,9,82,40,95,3
23,47,29,25,8,1
41,81,11,11,40,10
76,38,70,94,61,9
57,88,54,89,25,7
35,11,10,78,92,10
80,19,73,83,18,3
93,17,87,29,41,2
63,75,15,70,78,9
66,39,69,75,58,3
93,56,40,34,66,6
34,33,33,90,99,9
75,68,96,77,55,4
76,62,88,86,39,1
22,82,75,69,16,2
49,80,55,78,43,5
2,49,61,15,96,1
3,14,92,94,70,4
63,8,88,12,18,3
19,96,56,69,62,1
49,29,14,31,97,6
73,2,78,47,53,8
29,38,70,22,41,6
88,75,92,44,76,8
15,55,65,98,68,6
55,35,2,80,98,8
95,40,4,35,38,3
67,62,23,56,7,4
70,92,30,99,94,4
97,60,66,84,76,9
91,61,63,50,21,2
2,45,65,9,31,1
63,41,81,58,12,8
97,84,97,74,16,1
90,36,49,13,45,1
21,23,96,46,2,5
54,83,89,95,24,3
60,60,42,83,13,3
36,50,80,42,62,6
78,75,15,33,21,5
42,67,79,83,61,2
54,10,10,51,50,8
98,12,28,27,87,10
24,60,15,11,33,5
74,44,72,71,54,4
12,27,89,46,92,4
40,89,79,50,22,1
73,25,6,24,35,6
40,99,93,92,27,10
44,22,16,98,85,1
73,52,42,97,29,6
32,9,65,93,26,6
70,64,17,33,80,6
31,54,91,26,19,7
81,19,91,88,16,2
32,2,86,10,20,2
34,54,18,45,88,6
84,35,75,33,44,4
90,39,49,74,37,10
44,9,40,54,27,8
70,59,78,11,96,10
77,89,60,100,83,6
65,18,15,92,35,1
55,61,35,23,74,9
57,4,70,7,56,6
52,19,43,80,68,9
97,72,6,94,61,3
29,56,73,22,13,8
30,52,44,92,50,3
19,65,34,24,16,5
4,61,86,86,85,2
40,92,25,60,83,2
56,9,4,45,87,4
35,24,28,66,9,8
72,20,48,34,96,3
25,18,30,43,54,8
81,77,58,25,44,8
22,74,67,51,27,5
75,74,23,92,92,4
16,72,45,56,28,5
85,87,61,36,56,3
99,96,59,83,30,6
56,8,66,57,20,6
62,5,24,48,35,2
61,99,55,71,61,6
22,87,61,84,96,2
77,78,19,95,50,9
10,87,96,63,47,7
13,68,93,55,27,6
6,32,18,8,100,10
14,80,71,46,19,5
15,94,89,47,19,6
62,87,20,57,57,10
27,92,90,85,56,9
60,43,99,88,93,8
84,100,85,29,52,8
16,11,69,71,51,4
15,53,47,5,38,4
30,92,21,67,14,1
20,64,49,42,23,5
47,96,93,39,41,5
19,89,31,13,34,10
51,80,89,12,34,2
54,26,76,22,13,2
94,52,12,11,81,6
66,62,29,58,78,7
89,76,20,5,74,10
8,97,14,26,75,9
13,79,59,3,95,9
77,9,92,47,27,1
79,12,70,23,82,6
10,48,54,85,18,10
87,3,44,80,30,2
75,19,67,58,71,7
69,7,12,44,84,5
20,49,53,7,18,1
4,99,46,73,17,8
20,54,33,65,59,2
56,68,17,55,29,1
46,7,9,35,43,4
84,48,17,70,19,10
4,39,44,65,53,10
39,29,34,59,68,8
92,44,86,38,76,9
77,13,63,81,33,2
76,88,24,35,49,3
78,31,96,1,71,5
46,88,63,75,62,1
1,58,84,66,46,1
13,21,40,70,34,6
2,56,63,58,63,6
77,60,91,73,37,4
11,26,97,91,5,7
32,3,96,74,11,5
96,44,84,72,96,7
97,45,37,64,85,4
14,66,50,22,3,8
13,34,89,20,95,7
13,23,49,48,74,2
1,51,66,60,10,4
69,65,24,60,1,10
61,1,52,24,79,10
32,72,54,72,41,6
68,25,43,97,60,4
10,52,79,46,59,7
24,97,92,79,88,3
80,28,40,60,58,5
83,39,30,28,25,2
65,39,80,94,23,4
74,46,100,60,92,2
24,13,54,49,15,4
58,43,81,12,43,1
23,7,70,33,30,6
24,36,23,26,32,8
40,14,51,94,67,7
56,9,3,63,53,1
65,14,88,1,81,10
100,86,38,38,81,2
92,32,30,100,20,5
8,49,17,98,92,9
18,70,75,81,46,4
11,38,80,68,9,10
97,92,81,92,68,2
3,56,49,27,55,4
20,98,17,74,70,4
100,89,15,95,82,7
84,62,59,14,29,2
72,35,73,72,42,8
92,37,10,5,60,8
22,57,80,11,66,3
13,79,9,6,49,5
42,65,80,40,7,7
31,32,76,99,63,8
94,54,62,65,40,4
97,96,38,25,70,3
60,2,100,50,92,7
13,94,40,10,14,8
3,93,70,95,30,10
85,24,18,62,23,9
97,86,93,95,47,8
45,12,92,28,57,5
51,77,68,20,6,10
94,76,1,61,88,6
16,26,90,45,52,9
8,83,66,40,22,9
60,100,84,4,37,4
19,12,5,95,42,4
80,78,42,1,74,10
37,52,49,96,78,1
79,47,72,79,69,7
86,92,19,45,60,1
62,76,27,52,85,4
44,91,47,52,76,2
69,98,85,33,24,10
89,59,83,67,54,9
56,26,29,35,20,8
53,75,19,9,77,2
82,38,68,23,19,5
39,9,10,85,34,3
82,5,28,28,100,2
35,3,79,41,50,9
92,70,68,87,54,5
45,42,66,77,35,1
88,10,22,38,75,9
4,38,80,49,65,3
66,24,57,73,73,3
53,28,63,1,33,10
52,85,89,87,31,2
13,98,23,79,3,1
20,73,60,34,95,1
99,54,56,30,35,6
8,76,84,30,29,8
92,16,54,31,88,9
63,82,89,83,74,4
54,81,66,59,3,3
49,23,32,45,68,4
28,19,99,43,77,8
12,15,11,58,44,3
95,71,30,34,79,5
88,16,62,50,100,8
65,94,68,85,47,10
22,4,54,7,9,5
36,90,23,43,19,1
67,78,36,6,6,3
6,82,76,26,28,7
19,4,3,18,98,8
21,55,16,71,64,7
87,36,25,24,58,5
97,61,36,56,30,2
25,79,9,17,69,4
59,55,99,64,81,5
71,82,67,34,66,9
9,33,90,54,78,8
57,4,1,53,78,8
13,84,64,18,92,9
6,74,14,42,15,4
81,55,62,20,84,2
22,39,30,8,41,8
47,89,75,33,62,1
69,77,22,53,96,8
5,58,4,3,94,4
54,21,65,46,36,2
100,96,42,46,21,10
18,64,43,47,23,5
26,61,85,35,61,8
54,83,97,33,10,8
14,89,24,10,73,10
44,34,88,18,1,5
75,2,86,62,77,4
99,66,30,96,86,10
36,17,14,67,10,1
38,86,94,18,99,5
16,60,62,85,81,6
39,29,46,89,26,2
82,93,18,26,56,8
4,99,2,65,69,8
1,7,62,68,35,4
82,91,43,84,51,8
77,23,20,76,98,9
20,15,40,5,49,4
47,73,72,97,53,3
98,77,100,77,47,2
72,85,6,68,56,9
75,43,77,67,15,8
47,86,20,32,34,4
22,51,90,95,94,2
43,72,92,40,40,4
37,15,71,71,29,4
37,71,64,7,76,4
71,36,35,65,35,4
91,98,72,59,82,7
87,23,16,62,64,7
92,60,9,92,1,3
5,99,99,91,23,1
13,79,10,35,30,2
81,76,57,18,74,4
46,48,30,48,33,4
19,53,37,11,34,4
38,63,56,31,49,10
90,91,60,75,10,6
44,5,16,59,88,7
99,12,3,90,6,1
22,11,90,73,76,1
45,76,38,83,17,7
22,61,65,56,59,9
60,36,73,90,30,6
98,76,48,22,13,8
70,98,8,60,73,1
34,67,5,20,63,9
22,44,99,65,55,2
49,37,95,77,20,9
15,98,51,71,91,7
11,48,30,90,46,1
20,8,63,82,47,3
69,53,29,55,41,8
14,55,82,2,94,7
39,78,5,51,32,9
99,22,43,100,59,7
86,74,24,93,50,7
84,18,13,37,53,1
46,52,3,73,13,9
38,22,15,19,1,7
50,89,37,14,6,10
22,69,47,40,39,9
62,51,48,92,88,3
62,55,15,37,98,9
67,77,81,37,86,4
15,80,53,26,72,3
13,42,11,11,68,4
76,82,65,90,76,3
71,82,40,19,12,5
42,13,4,47,86,2
94,66,40,10,40,2
13,42,32,72,23,8
53,6,13,38,71,10
64,72,34,4,80,2
2,79,20,25,9,5
41,64,75,49,70,8
10,76,27,94,90,8
92,35,84,92,45,5
51,47,17,98,35,2
80,28,97,74,79,4
35,6,29,31,19,5
30,58,39,49,23,8
29,30,81,82,99,10
76,53,36,43,81,5
16,28,71,92,83,9
31,87,12,5,2,2
31,17,75,10,7,10
78,57,72,28,14,7
87,82,53,68,11,7
3,71,83,100,54,5
60,90,47,7,3,2
3,79,35,94,32,8
33,85,40,77,70,1
39,99,78,57,61,3
50,94,93,83,59,8
96,51,80,15,47,6
31,76,9,1,12,7
87,78,50,38,60,9
28,60,6,22,43,3
96,84,17,78,99,2
14,91,54,29,1,1
74,52,6,73,41,5
24,35,98,99,92,2
58,17,48,72,11,8
90,10,97,47,97,2
9,55,12,79,49,7
17,59,19,85,9,7
21,8,57,20,40,6
90,14,12,56,85,3
65,96,24,48,44,1
21,50,54,50,66,3
99,5,29,61,30,6
36,56,38,30,95,3
36,1,46,71,30,6
31,85,33,27,80,7
77,8,66,55,71,6
38,94,47,18,4,9
78,6,9,10,64,3
9,31,22,95,64,4
51,96,82,99,64,3
90,17,87,25,51,9
54,55,76,29,68,6
19,52,38,65,74,2
77,41,26,43,53,6
64,12,68,68,49,4
88,67,44,34,8,7
96,18,55,73,5,4
1,4,37,99,27,10
38,94,98,35,36,7
16,77,16,67,18,9
71,50,7,71,23,1
18,47,33,91,71,1
27,37,18,81,57,3
38,44,15,77,42,8
4,65,11,46,14,3
63,29,79,18,19,8
60,52,34,98,33,1
18,28,27,76,36,6
99,10,57,44,93,4
32,50,83,62,9,2
53,96,7,12,59,7
67,34,52,66,94,5
11,58,57,95,96,7
19,11,14,45,91,3
26,84,97,34,20,10
59,27,87,58,64,1
76,20,14,11,23,5
14,61,77,22,39,2
17,55,28,22,73,1
79,28,52,80,17,4
63,86,15,93,45,1
69,9,12,68,14,8
89,11,47,58,29,1
8,9,94,67,89,8
18,30,63,61,60,1
89,90,84,95,79,6
52,29,5,50,36,10
32,25,41,71,86,1
62,10,23,5,21,7
65,76,96,18,5,7
50,26,68,89,64,3
81,99,62,40,59,1
37,92,30,12,76,4
10,36,32,62,72,6
74,38,70,63,18,6
41,79,54,14,39,8
60,4,17,56,67,1
64,25,27,72,32,8
96,69,48,92,15,8
82,40,78,71,92,2
29,63,90,46,89,3
35,23,98,98,97,8
28,65,13,50,11,6
35,100,59,60,29,3
22,81,27,50,11,4
39,85,55,56,97,3
50,35,38,54,93,6
50,82,62,30,8,6
79,83,33,70,91,3
12,88,86,24,71,2
77,1,7,48,64,3
86,97,92,90,8,3
82,81,12,89,66,5
4,25,93,47,54,3
12,97,66,10,16,4
95,20,57,97,10,7
11,18,94,70,32,10
57,89,26,84,43,1
65,70,3,99,54,4
8,74,95,83,29,9
4,96,42,88,33,9
39,94,83,46,18,4
26,5,3,62,73,5
81,98,65,75,33,3
20,26,94,38,50,10
83,4,34,60,90,7
56,74,45,10,68,4
49,100,86,60,78,2
35,26,88,48,69,5
65,68,83,75,19,10
70,92,18,88,74,1
42,36,36,87,38,8
93,28,36,1,25,10
45,61,27,56,25,2
85,38,52,26,91,8
61,5,45,89,73,9
62,86,66,32,54,6
2,4,61,80,96,10
32,22,65,1,42,5
28,94,19,86,98,5
88,93,52,67,44,2
10,31,43,30,69,2
94,11,46,65,96,6
11,30,73,91,57,5
92,68,16,37,2,3
4,98,76,68,97,9
74,8,46,38,58,2
100,3,82,23,29,10
60,10,66,12,10,6
86,43,44,50,8,3
29,74,45,45,79,6
30,82,70,95,30,1
32,98,47,84,3,3
89,14,42,100,1,4
60,89,90,57,47,6
78,2,27,57,33,3
52,92,9,43,95,1
77,46,80,77,52,2
90,88,53,37,88,5
99,96,6,10,13,5
76,29,98,58,32,4
26,83,58,33,65,3
39,3,55,45,57,3
33,19,15,45,62,9
37,8,34,94,68,9
31,36,71,4,80,1
51,12,61,47,82,5
64,74,72,64,4,8
58,85,21,72,14,6
81,52,29,22,33,6
6,64,22,87,54,3
27,30,39,14,49,2
37,45,88,68,64,6
51,65,65,55,72,1
82,69,24,30,84,9
33,77,28,73,67,1
80,4,8,55,79,2
38,28,87,34,78,7
75,62,10,23,33,10
64,32,86,81,24,1
49,3,72,85,86,3
28,25,99,77,54,7
17,51,40,52,56,10
15,29,93,84,90,1
12,44,87,92,96,9
64,91,58,60,73,7
33,98,70,16,85,2
70,81,15,85,83,8
79,70,53,42,48,8
1,49,85,14,30,10
49,89,10,19,13,5
71,66,12,14,18,7
12,69,20,29,4,2
72,13,2,7,82,1
48,42,88,43,31,4
88,38,38,67,69,8
14,60,19,60,95,3
82,83,65,46,49,4
32,13,5,52,13,4
7,75,53,49,99,1
22,66,19,71,89,2
35,65,94,62,90,2
29,67,15,91,91,7
86,6,13,12,74,1
41,75,14,72,53,9
37,39,16,37,45,8
8,63,73,43,96,7
22,24,78,3,75,9
10,42,24,1,42,10
39,60,48,77,58,1
3,70,46,85,95,9
46,12,2,89,32,7
35,98,85,8,77,8
35,43,90,24,9,4
60,72,2,24,47,7
21,70,93,71,34,2
44,91,90,10,44,9
22,2,20,43,76,2
74,85,4,87,19,6
98,42,45,45,89,3
39,44,57,18,26,3
34,77,45,52,38,8
32,13,66,39,11,5
88,93,33,58,100,9
24,84,31,51,11,8
44,54,10,38,44,7
25,75,39,44,33,7
58,76,53,51,70,1
60,94,96,55,64,5
80,91,71,70,73,5
52,20,38,78,55,1
60,68,62,83,2,3
66,33,59,85,75,1
55,68,44,77,40,1
81,94,70,59,56,1
51,44,12,98,65,2
78,67,9,22,53,1
42,95,54,60,3,5
79,54,4,20,66,6
61,42,2,5,90,9
57,77,54,81,63,8
44,84,44,39,88,10
86,93,41,99,76,2
2,1,58,38,21,9
38,34,35,26,5,4
90,96,7,97,66,6
16,72,17,64,73,6
64,66,60,36,37,2
88,72,37,49,8,5
96,80,61,77,40,3
73,29,70,89,29,9
9,67,44,41,78,10
74,89,37,45,71,3
98,64,10,19,41,10
44,81,93,44,62,5
84,77,5,49,60,4
19,23,33,82,48,9
58,63,29,68,7,4
36,45,4,93,68,6
51,48,84,22,71,3
36,63,79,7,79,8
82,41,58,23,75,9
79,84,37,3,1,10
27,46,73,94,49,6
36,65,54,13,8,3
43,50,14,90,92,6
74,87,44,72,90,1
46,34,43,59,46,5
65,77,99,87,61,3
69,62,52,6,14,1
25,59,19,24,44,3
64,2,51,21,59,1
87,67,3,67,80,10
42,50,17,55,65,9
76,39,77,18,29,9
41,19,60,92,20,8
72,67,47,67,87,4
67,72,53,11,84,5
27,10,1,73,93,10
41,90,64,34,65,3
70,80,46,45,44,4
23,33,58,15,82,7
20,64,79,61,79,10
77,13,24,3,2,3
47,84,81,9,19,3
71,67,77,21,3,3
57,7,15,46,74,5
38,47,11,65,50,4
21,74,11,69,67,2
9,53,16,48,24,2
77,62,97,25,53,2
52,94,47,13,20,3
98,88,61,9,41,8
38,21,19,19,85,8
26,83,59,79,57,1
73,15,62,33,62,7
41,80,83,19,89,4
74,79,19,70,34,6
50,35,13,98,38,6
99,48,22,78,78,7
92,63,29,17,25,10
81,65,39,47,54,1
48,39,64,51,20,2
12,21,100,41,45,2
43,91,62,33,84,5
40,37,23,41,49,10
57,85,21,64,72,7
71,32,74,33,95,9
94,99,89,73,52,9
36,98,3,88,62,6
24,97,29,95,65,3
36,27,69,25,58,1
44,43,37,57,65,5
79,15,71,73,87,9
43,84,5,31,39,8
63,13,68,73,42,6
10,11,33,79,29,6
1,74,49,81,81,5
33,86,25,75,24,1
6,55,40,79,32,8
54,20,32,97,60,9
91,72,49,70,77,4
43,9,18,73,75,8
96,1,86,25,96,3
21,77,95,69,14,1
80,91,21,6,90,3
68,15,20,64,1,1
8,87,58,3,11,4
81,57,12,89,41,7
74,64,73,93,29,4
36,79,59,92,29,6
97,17,42,24,11,10
96,26,30,31,31,7
33,7,4,93,78,6
82,19,37,26,42,2
34,19,5,53,98,2
77,84,58,76,55,7
14,63,71,14,96,2
24,64,11,3,61,10
86,67,93,60,86,6
2,9,3,98,62,7
45,47,51,77,11,5
7,98,83,37,40,1
7,63,88,80,70,5
8,78,69,52,30,4
35,39,77,16,20,5
29,92,27,25,83,4
38,38,93,46,59,9
42,1,1,97,71,7
2,23,96,86,90,2
44,75,66,3,75,10
57,81,54,94,8,3
74,21,6,48,63,1
64,75,56,82,78,8
6,88,38,22,23,8
83,86,29,36,83,3
62,7,78,6,71,1
94,29,5,17,7,2
17,87,26,53,50,1
32,1,50,89,5,3
49,24,13,42,8,3
34,100,99,53,73,2
35,89,52,61,35,7
99,40,18,45,22,10
29,90,8,99,17,9
5,16,15,36,70,6
59,94,15,95,8,2
40,41,95,88,47,5
17,79,12,55,8,8
63,49,34,93,77,5
48,42,69,79,90,4
93,72,85,77,14,10
16,48,73,27,59,1
56,13,13,18,86,10
55,34,82,75,89,3
86,23,6,32,32,7
15,19,59,10,69,6
22,89,83,70,25,2
87,39,89,100,34,1
71,43,64,5,15,1
19,96,15,85,39,1
80,44,94,56,100,10
63,44,4,33,95,2
10,29,88,53,96,4
59,14,29,88,5,4
42,33,45,43,84,2
96,83,71,69,90,3
94,18,79,5,8,7
10,29,81,90,72,3
71,64,18,93,13,5
82,12,26,42,7,4
81,58,37,14,58,3
29,35,66,12,17,7
45,28,88,94,75,2
19,63,26,9,57,1
98,94,37,83,26,7
22,65,80,31,55,7
1,43,56,1,71,9
17,32,51,85,16,8
74,97,97,85,70,4
27,25,10,66,31,10
17,44,82,49,16,3
30,85,79,69,96,6
25,18,45,76,61,5
25,49,43,4,97,1
11,78,21,27,4,8
49,45,12,31,77,6
16,13,42,10,71,8
42,43,75,14,5,6
46,20,89,95,70,1
3,65,13,100,77,9
44,80,56,12,97,5
90,70,98,59,69,3
8,56,21,82,44,9
57,49,68,33,23,9
48,49,3,48,37,7
85,82,51,64,9,7
59,98,51,96,29,9
3,42,87,94,82,8
75,95,29,25,37,5
100,78,94,23,27,3
14,44,76,73,63,2
49,71,67,100,49,1
59,32,89,41,25,1
98,75,59,39,37,2
70,60,40,26,24,2
55,22,20,54,71,7
21,48,46,83,26,2
69,59,80,56,100,8
84,26,46,48,23,10
37,18,46,90,22,10
65,42,3,67,60,2
25,67,49,92,70,10
87,24,10,78,64,9
88,14,23,78,5,4
59,95,14,3,70,2
92,26,48,62,40,5
42,35,37,62,5,9
36,60,48,8,69,10
79,52,64,81,100,3
5,79,8,4,65,8
66,13,4,97,36,7
29,71,33,70,85,10
8,95,69,42,60,2
29,20,84,77,82,2
87,69,36,99,92,4
24,35,5,36,75,1
39,25,20,65,79,7
62,88,33,74,25,2
99,2,86,7,3,3
34,17,17,92,88,8
98,74,16,98,11,9
31,79,71,36,15,4
3,20,22,95,64,3
78,30,5,63,37,4
48,62,61,41,26,1
15,84,79,99,76,2
79,11,28,58,32,10
54,43,31,44,59,3
53,28,62,3,23,6
13,68,83,4,62,8
1,4,30,82,28,5
3,11,22,40,20,8
87,10,100,28,6,10
4,64,46,72,66,8
79,50,60,35,79,1
16,69,35,50,80,3
33,37,41,100,5,1
56,34,62,84,78,9
58,95,3,7,6,9
95,55,65,26,54,1
10,15,30,67,55,6
80,86,39,95,28,10
86,98,11,93,43,10
17,89,46,95,27,5
11,60,75,9,83,2
9,67,1,94,99,2
25,30,17,54,50,2
57,82,55,67,40,8
2,22,16,43,78,3
76,19,70,57,91,8
5,50,81,91,53,3
76,39,24,49,59,1
76,8,1,31,96,3
23,87,21,79,3,5
13,77,37,20,13,6
26,33,37,18,30,3
92,19,21,42,37,4
16,79,51,25,33,6
64,66,51,53,100,8
94,14,40,47,54,9
62,38,38,31,55,6
80,54,2,61,31,10
32,43,51,92,48,5
99,1,84,4,85,8
76,31,99,66,81,3
45,82,87,95,92,10
15,59,57,88,65,5
74,27,15,72,33,7
69,35,12,94,45,8
3,33,70,21,69,5
96,54,12,60,64,7
72,48,84,54,28,8
8,7,6,72,73,10
16,96,6,85,20,8
13,30,94,98,20,5
43,97,62,93,74,1
50,87,96,46,65,2
42,31,19,1,49,10
71,17,6,16,28,10
51,32,22,12,57,6
33,90,5,46,24,3
7,25,19,81,81,5
100,48,66,64,53,4
78,57,26,24,46,10
72,8,28,73,95,4
64,38,60,45,40,4
93,27,89,85,28,3
49,99,21,99,29,3
8,61,90,22,47,4
95,23,66,3,56,2
33,16,97,4,90,9
50,64,51,56,44,6
8,74,71,31,57,5
55,26,98,38,92,2
86,78,38,17,85,9
46,95,75,96,35,4
88,15,9,60,28,10
18,40,55,98,71,7
16,29,9,29,32,2
9,51,34,87,16,5
28,21,70,18,31,4
9,25,80,99,100,6
24,59,51,68,37,8
7,15,17,35,85,8
95,36,36,88,47,10
40,45,17,31,70,9
88,42,72,14,80,7
93,86,62,86,60,3
95,13,20,28,36,4
20,64,86,9,70,2
7,41,26,41,2,5
30,93,6,84,13,10
27,41,19,93,77,4
24,76,74,21,18,8
92,87,21,20,55,5
91,78,8,23,79,7
27,42,99,12,61,2
